Gene,Entrez ID,Image Series URL,Used in analysis?,ID
3010001K23Rik,72392,3010001K23Rik/356084.html,1,356084
3100002H09Rik*,70249,3100002H09Rik*/77340484.html,1,77340484
3110004L20Rik,73102,3110004L20Rik/72128754.html,1,72128754
3110006E14Rik,76980,3110006E14Rik/71249083.html,1,71249083
3110023B02Rik,67291,3110023B02Rik/1978.html,1,1978
3110035E14Rik,76982,3110035E14Rik/73817427.html,1,73817427
3110082D06Rik,73235,3110082D06Rik/74581400.html,1,74581400
3732412D22Rik,77569,3732412D22Rik/71249084.html,1,71249084
3830406C13Rik,218734,3830406C13Rik/77414919.html,1,77414919
4432412L15Rik,74337,4432412L15Rik/74958547.html,1,74958547
4631426E05Rik,66696,4631426E05Rik/75081003.html,1,75081003
4631426J05Rik,77590,4631426J05Rik/70613978.html,1,70613978
4632413K17Rik,216440,4632413K17Rik/876.html,1,876
4732455O04Rik*,0,4732455O04Rik*/75043137.html,1,75043137
4833420G17Rik,67392,4833420G17Rik/74047840.html,1,74047840
4921510J17Rik,70894,4921510J17Rik/72129254.html,1,72129254
4921511K06Rik,232664,4921511K06Rik/324214.html,1,324214
4921517B04Rik,70892,4921517B04Rik/72128755.html,1,72128755
4921517L17Rik,70873,4921517L17Rik/67779872.html,1,67779872
4921531P07Rik,207778,4921531P07Rik/71670715.html,1,71670715
4930431L04Rik,270049,4930431L04Rik/74750013.html,1,74750013
4930451C15Rik,74685,4930451C15Rik/74750011.html,1,74750011
4930473A06Rik,320226,4930473A06Rik/75080180.html,1,75080180
4930506M07Rik,71653,4930506M07Rik/322956.html,1,322956
4930516O21Rik*,0,4930516O21Rik*/75043136.html,1,75043136
4930544G21Rik,77629,4930544G21Rik/76085749.html,1,76085749
4931406I20Rik,66743,4931406I20Rik/71924364.html,1,71924364
4932438H23Rik,74387,4932438H23Rik/1321.html,1,1321
4933403F05Rik,108654,4933403F05Rik/74819246.html,1,74819246
4933403M22Rik,74071,4933403M22Rik/74425566.html,1,74425566
4933417O08Rik,71146,4933417O08Rik/76097699.html,1,76097699
5033414K04Rik,98496,5033414K04Rik/73635974.html,1,73635974
5330421F07Rik,78286,5330421F07Rik/74641113.html,1,74641113
5330421K23Rik*,0,5330421K23Rik*/75043138.html,1,75043138
5330439J01Rik,109205,5330439J01Rik/71920521.html,1,71920521
5430433G21Rik,319909,5430433G21Rik/71249741.html,1,71249741
5730409E04Rik,230757,5730409E04Rik/74988752.html,1,74988752
5730410E15Rik,319613,5730410E15Rik/70301086.html,1,70301086
5730507A09Rik,70638,5730507A09Rik/72340182.html,1,72340182
5830472M02Rik,76080,5830472M02Rik/74641323.html,1,74641323
6030405A18Rik,329641,6030405A18Rik/71920518.html,1,71920518
6330403A02Rik,381310,6330403A02Rik/72340183.html,1,72340183
6330407J23Rik,67412,6330407J23Rik/1988.html,1,1988
6330500D04Rik,193385,6330500D04Rik/73635806.html,1,73635806
6330503C03Rik,76156,6330503C03Rik/72128774.html,1,72128774
6330503K22Rik,101565,6330503K22Rik/77280311.html,1,77280311
6330505F04Rik,236790,6330505F04Rik/75988610.html,1,75988610
6330505N24Rik,229474,6330505N24Rik/73925717.html,1,73925717
6330514A18Rik,216166,6330514A18Rik/74988743.html,1,74988743
6330527O06Rik,76161,6330527O06Rik/70927827.html,1,70927827
6430514L14Rik,76886,6430514L14Rik/73732150.html,1,73732150
6430517E21Rik,240843,6430517E21Rik/71249743.html,1,71249743
6430548M08Rik,234797,6430548M08Rik/72008118.html,1,72008118
6430573F11Rik,319582,6430573F11Rik/75651150.html,1,75651150
6530401D17Rik,76219,6530401D17Rik/45841.html,1,45841
6620401M08Rik,75744,6620401M08Rik/73931622.html,1,73931622
6720401G13Rik,103012,6720401G13Rik/74958576.html,1,74958576
6720456B07Rik,101314,6720456B07Rik/74988744.html,1,74988744
6820408C15Rik,228778,6820408C15Rik/74363339.html,1,74363339
8030451F13Rik,109272,8030451F13Rik/71920513.html,1,71920513
8430436L14Rik,622434,8430436L14Rik/73931623.html,1,73931623
9030224M15Rik,327747,9030224M15Rik/74581410.html,1,74581410
9030409G11Rik,71529,9030409G11Rik/72007937.html,1,72007937
9030425E11Rik,71566,9030425E11Rik/71924353.html,1,71924353
9030605H24Rik,319767,9030605H24Rik/73635826.html,1,73635826
9330132E09Rik,319901,9330132E09Rik/71249745.html,1,71249745
9330182L06Rik,231014,9330182L06Rik/75081005.html,1,75081005
9430020K01Rik,240185,9430020K01Rik/75988537.html,1,75988537
9430028L06Rik,225617,9430028L06Rik/71717154.html,1,71717154
9530068E07Rik,213673,9530068E07Rik/74988509.html,1,74988509
9530085C10Rik*,0,9530085C10Rik*/75080269.html,1,75080269
9530091C08Rik,320440,9530091C08Rik/71249747.html,1,71249747
9630013P03Rik*,0,9630013P03Rik*/77280434.html,1,77280434
9630031F12Rik,58227,9630031F12Rik/73636151.html,1,73636151
9630050M13Rik,269233,9630050M13Rik/72283797.html,1,72283797
9830166N24Rik*,0,9830166N24Rik*/75043150.html,1,75043150
9930021J17Rik,229488,9930021J17Rik/74363337.html,1,74363337
A030009H04Rik,80515,A030009H04Rik/74750014.html,1,74750014
A130014H13Rik,319630,A130014H13Rik/75041574.html,1,75041574
A230048G03Rik,320473,A230048G03Rik/70560265.html,1,70560265
A230057G18Rik,330166,A230057G18Rik/72340194.html,1,72340194
A230065H16Rik,380787,A230065H16Rik/71250292.html,1,71250292
A230083H22Rik,353211,A230083H22Rik/74363335.html,1,74363335
A230097P14Rik*,0,A230097P14Rik*/75042236.html,1,75042236
A230109K23Rik,110312,A230109K23Rik/55.html,1,55
A330102H22Rik,77754,A330102H22Rik/57.html,1,57
A430041E17Rik*,0,A430041E17Rik*/75042237.html,1,75042237
A430107P09Rik,320898,A430107P09Rik/71670720.html,1,71670720
A530079E22Rik,319977,A530079E22Rik/71250305.html,1,71250305
A530082C11Rik,320541,A530082C11Rik/74881514.html,1,74881514
A530088H08Rik,193003,A530088H08Rik/72283798.html,1,72283798
A630094N22Rik*,0,A630094N22Rik*/75144644.html,1,75144644
A730073J23Rik*,0,A730073J23Rik*/75042239.html,1,75042239
A730096I18Rik*,0,A730096I18Rik*/75144645.html,1,75144645
A830041P22Rik,320208,A830041P22Rik/75651161.html,1,75651161
A930001K06Rik*,0,A930001K06Rik*/75042240.html,1,75042240
A930009E05Rik,77796,A930009E05Rik/72340221.html,1,72340221
A930017N06Rik,243312,A930017N06Rik/71587930.html,1,71587930
A930038C07Rik,68169,A930038C07Rik/72080134.html,1,72080134
A930041I02Rik,320271,A930041I02Rik/74581420.html,1,74581420
AA536743,100532,AA536743/72007746.html,1,72007746
Aacs,78894,Aacs/74988454.html,1,74988454
Aadacl1,320024,Aadacl1/74881744.html,1,74881744
Abcb6,74104,Abcb6/67881549.html,1,67881549
Abcd2,26874,Abcd2/70616004.html,1,70616004
Abhd11,68758,Abhd11/1577.html,1,1577
Abhd3,106861,Abhd3/70744514.html,1,70744514
Abhd6,66082,Abhd6/74047923.html,1,74047923
Abhd8,64296,Abhd8/2012.html,1,2012
Ablim3,319713,Ablim3/73992943.html,1,73992943
Acaa2,52538,Acaa2/71924375.html,1,71924375
Acacb,100705,Acacb/74881515.html,1,74881515
Acadl,11363,Acadl/72081416.html,1,72081416
Acadvl,11370,Acadvl/227161.html,1,227161
Accn1,11418,Accn1/73930838.html,1,73930838
Accn4,241118,Accn4/71924089.html,1,71924089
Ace,11421,Ace/72109489.html,1,72109489
